id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
432539,Bleda,ugandae,,birds,Yellow-eyed Bristlebill,Barry Edmonston,Uganda,Semuliki Forest NP,0.8274,30.0397,700,song,,,field recording,//xeno-canto.org/432539,https://xeno-canto.org/432539/download,XC432539-Yellow-lored Bristlebill.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/FHQVLXJQKW/ffts/XC432539-small.png', 'med': '//xeno-canto.org/sounds/uploaded/FHQVLXJQKW/ffts/XC432539-med.png', 'large': '//xeno-canto.org/sounds/uploaded/FHQVLXJQKW/ffts/XC432539-large.png', 'full': '//xeno-canto.org/sounds/uploaded/FHQVLXJQKW/ffts/XC432539-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/FHQVLXJQKW/wave/XC432539-small.png', 'med': '//xeno-canto.org/sounds/uploaded/FHQVLXJQKW/wave/XC432539-med.png', 'large': '//xeno-canto.org/sounds/uploaded/FHQVLXJQKW/wave/XC432539-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:53,09:30,2018-08-03,2018-08-30,[],Single individual calling in evergreen forest.  I am not positive about identification.  Song resembles faint song heard in XC138931 with calls of Yellow-lored Bristlebill.,yes,yes,no,,,no,,,44100
739381,Anthreptes,tephrolaemus,,birds,Grey-chinned Sunbird,Peter Boesman,Uganda,"Kibale National Park, Western Region",0.4698,30.3672,,call,,,field recording,//xeno-canto.org/739381,https://xeno-canto.org/739381/download,XC739381-LS_50943 Green Sunbird calls B.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739381-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739381-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739381-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739381-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739381-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739381-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739381-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:17,11:00,2022-06-20,2022-07-27,[],,unknown,unknown,unknown,,,no,,,48000
739380,Anthreptes,tephrolaemus,,birds,Grey-chinned Sunbird,Peter Boesman,Uganda,"Kibale National Park, Western Region",0.4698,30.3672,,"call, song, song and call",,,field recording,//xeno-canto.org/739380,https://xeno-canto.org/739380/download,XC739380-LS_50933 Green Sunbird song and call B.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739380-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739380-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739380-large.png', 'full': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/ffts/XC739380-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739380-small.png', 'med': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739380-med.png', 'large': '//xeno-canto.org/sounds/uploaded/OOECIWCSWV/wave/XC739380-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:36,10:00,2022-06-20,2022-07-27,[],,unknown,unknown,unknown,,,no,,,48000
612789,Bleda,ugandae,,birds,Yellow-eyed Bristlebill,Magnus Wadstein,Uganda,"Semliki National Park, Bughendera, Bundibugyo, Western Region",0.8327,30.1599,700,"call, song",,,field recording,//xeno-canto.org/612789,https://xeno-canto.org/612789/download,XC612789-Yellow-lored Bristlebill (Green-tailed).mp3,"{'small': '//xeno-canto.org/sounds/uploaded/CQARALZBNN/ffts/XC612789-small.png', 'med': '//xeno-canto.org/sounds/uploaded/CQARALZBNN/ffts/XC612789-med.png', 'large': '//xeno-canto.org/sounds/uploaded/CQARALZBNN/ffts/XC612789-large.png', 'full': '//xeno-canto.org/sounds/uploaded/CQARALZBNN/ffts/XC612789-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/CQARALZBNN/wave/XC612789-small.png', 'med': '//xeno-canto.org/sounds/uploaded/CQARALZBNN/wave/XC612789-med.png', 'large': '//xeno-canto.org/sounds/uploaded/CQARALZBNN/wave/XC612789-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:50,11:30,2020-03-12,2021-01-04,['Apalis rufogularis'], ,no,no,no,,,no,,,44100
312505,Bleda,ugandae,,birds,Yellow-eyed Bristlebill,Martin St-Michel,Uganda,"Kanyanchu, Kibale Forest",0.483,30.389,1400,alarm call,,,field recording,//xeno-canto.org/312505,https://xeno-canto.org/312505/download,XC312505-Kibale-2015-03-05-16h27 LS114737.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC312505-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC312505-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC312505-large.png', 'full': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC312505-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/wave/XC312505-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/wave/XC312505-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/wave/XC312505-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,1:06,16:27,2015-03-05,2016-04-16,[],Phyllastrephus flavostriatus? Habitat: secondary evergreen forest.,unknown,unknown,no,,,no,,,44100
287834,Bleda,ugandae,,birds,Yellow-eyed Bristlebill,Martin St-Michel,Uganda,"Kirimia, Semuliki National Park, Bundibugyo, Western Region",0.8233,30.09,700,"alarm call, call",,,field recording,//xeno-canto.org/287834,https://xeno-canto.org/287834/download,XC287834-Semuliki-2015-03-09-09h47 LS115049.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC287834-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC287834-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC287834-large.png', 'full': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC287834-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/wave/XC287834-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/wave/XC287834-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/wave/XC287834-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:50,09:47,2015-03-09,2015-10-29,"['Phyllastrephus xavieri', 'Bleda syndactylus']",Habitat: primary evergreen forest.,yes,yes,no,,,no,,,44100
283456,Bleda,ugandae,,birds,Yellow-eyed Bristlebill,Martin St-Michel,Uganda,"Kirimia, Semuliki National Park, Bundibugyo, Western Region",0.8233,30.09,700,call,,,field recording,//xeno-canto.org/283456,https://xeno-canto.org/283456/download,XC283456-Semuliki-2015-03-07-09h03 LS114842.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC283456-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC283456-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC283456-large.png', 'full': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/ffts/XC283456-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/wave/XC283456-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/wave/XC283456-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WOPIRNCCSX/wave/XC283456-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:38,09:03,2015-03-07,2015-10-02,['Apalis rufogularis'],Habitat: primary evergreen forest.,yes,yes,no,,,no,,,44100
138931,Bleda,ugandae,,birds,Yellow-eyed Bristlebill,Bram Piot,Uganda,"Mabira Forest Reserve (The Rain Forest Lodge), Buikwe district",0.3824,33.0169,1300,"call, song",,,field recording,//xeno-canto.org/138931,https://xeno-canto.org/138931/download,XC138931-YellowloredBristlebill_Mabira_20130616_113213_edited.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC138931-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC138931-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC138931-large.png', 'full': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC138931-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/wave/XC138931-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/wave/XC138931-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/wave/XC138931-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,B,1:27,11:30,2013-06-16,2013-06-18,['Chrysococcyx cupreus'],Probably 2 birds singing / calling,yes,yes,no,,,no,,,44100
138930,Bleda,ugandae,,birds,Yellow-eyed Bristlebill,Bram Piot,Uganda,"Mabira Forest Reserve (The Rain Forest Lodge), Buikwe district",0.3824,33.0169,1300,call,,,field recording,//xeno-canto.org/138930,https://xeno-canto.org/138930/download,XC138930-YellowloredBristlebill_Mabira_20130615_180854_edited.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC138930-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC138930-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC138930-large.png', 'full': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC138930-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/wave/XC138930-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/wave/XC138930-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/wave/XC138930-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:33,18:00,2013-06-15,2013-06-18,[],Alarm call?,yes,yes,no,,,no,,,44100
64976,Bleda,ugandae,,birds,Yellow-eyed Bristlebill,Erik Eggenkamp,Uganda,Mabira forest,0.4839,32.9653,?,"call, song",,,field recording,//xeno-canto.org/64976,https://xeno-canto.org/64976/download,Bleda_notatus_ugandae_20100703a3_zang_alarm_Mabira_Forest_OEG_LS100343egg-z.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/XIVWTGAUKY/ffts/XC64976-small.png', 'med': '//xeno-canto.org/sounds/uploaded/XIVWTGAUKY/ffts/XC64976-med.png', 'large': '//xeno-canto.org/sounds/uploaded/XIVWTGAUKY/ffts/XC64976-large.png', 'full': '//xeno-canto.org/sounds/uploaded/XIVWTGAUKY/ffts/XC64976-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/XIVWTGAUKY/wave/XC64976-small.png', 'med': '//xeno-canto.org/sounds/uploaded/XIVWTGAUKY/wave/XC64976-med.png', 'large': '//xeno-canto.org/sounds/uploaded/XIVWTGAUKY/wave/XC64976-large.png'}",//creativecommons.org/licenses/by-nc-nd/2.5/,B,0:46,15:19,2010-07-03,2010-11-05,[],"song and alarmcall two birds, one of them same bird as 64975xc",unknown,unknown,unknown,,,no,,,44100
